episode,timestep,reward
13,200,-2.5462
24,400,-3.8455
36,600,-6.0417
48,800,-9.3667
59,1000,-1.7455
71,1200,-3.85
83,1400,-13.3833
95,1600,-6.7917
108,1800,-4.6538
122,2000,-4.8143
135,2200,-3.0538
147,2400,-3.1583
157,2600,-1.63
170,2800,-4.2923
183,3000,0.4385
196,3200,-2.5
210,3400,2.65
223,3600,1.1308
234,3800,3.2091
248,4000,5.3
259,4200,11.9
272,4400,7.8
283,4600,3.1455
295,4800,8.9333
307,5000,7.6
318,5200,3.3182
329,5400,15.5455
340,5600,3.3091
351,5800,3.5
364,6000,10.1308
377,6200,3.8308
389,6400,7.6833
402,6600,4.2077
414,6800,16.375
424,7000,13.54
436,7200,12.5
448,7400,13.7833
461,7600,14.9385
474,7800,8.1846
485,8000,9.0818
497,8200,17.7667
510,8400,11.1154
522,8600,9.575
533,8800,10.6545
546,9000,8.4692
557,9200,17.6273
568,9400,24.5909
579,9600,12.6364
591,9800,19.5
602,10000,8.1
