episode,timestep,reward
65,1000,-4.6938
132,2000,-4.5463
194,3000,-5.6177
262,4000,-6.0971
334,5000,-3.5917
390,6000,2.2214
448,7000,-1.6569
496,8000,-0.8208
549,9000,1.783
602,10000,8.4094
647,11000,10.0022
686,12000,18.5077
723,13000,21.3216
760,14000,14.927
800,15000,19.6
840,16000,19.1825
881,17000,23.3146
926,18000,25.8867
961,19000,32.1314
1000,20000,30.8179
1040,21000,38.5525
1078,22000,36.6658
1114,23000,40.8611
1149,24000,46.6486
1192,25000,35.9233
1232,26000,44.8875
1270,27000,45.9289
1307,28000,48.3459
1341,29000,43.7941
1381,30000,45.2375
1420,31000,50.0538
1461,32000,46.922
1502,33000,48.9439
1540,34000,51.3684
1576,35000,56.5
1612,36000,57.4944
1649,37000,51.4297
1682,38000,58.3727
1714,39000,62.2
1747,40000,59.5818
1779,41000,58.0875
1813,42000,55.6118
1843,43000,65.76
1872,44000,66.3
1905,45000,57.8242
1938,46000,60.6788
1970,47000,65.6562
2002,48000,65.25
2035,49000,60.903
2065,50000,66.63
2095,51000,61.8267
2121,52000,71.6346
2147,53000,74.8192
2175,54000,71.4643
2205,55000,60.01
2234,56000,70.4724
2264,57000,67.4767
2292,58000,64.4893
2318,59000,71.2808
2345,60000,69.2481
2369,61000,73.8583
2395,62000,71.2077
2419,63000,78.2833
2442,64000,80.4304
2464,65000,80.7591
2486,66000,82.4364
2506,67000,79.14
2526,68000,78.095
2545,69000,92.5158
2566,70000,81.2333
2590,71000,70.4125
2613,72000,74.1217
2638,73000,69.884
2661,74000,80.5087
2685,75000,78.4167
2710,76000,76.18
2734,77000,73.4375
2759,78000,72.732
