episode,timestep,reward
63,1000,-6.9365
128,2000,-3.8154
190,3000,-5.2129
259,4000,-4.0855
328,5000,-5.8493
392,6000,-0.8859
455,7000,0.7095
515,8000,4.2667
570,9000,12.8109
627,10000,11.6228
682,11000,15.9745
734,12000,20.6635
778,13000,31.1545
827,14000,28.3939
876,15000,32.3939
929,16000,34.034
981,17000,34.7096
1031,18000,37.494
1077,19000,41.9043
1123,20000,41.0065
1167,21000,44.9727
1210,22000,48.0605
1253,23000,50.7163
1299,24000,48.6109
1341,25000,52.9048
1384,26000,55.8163
1425,27000,56.2317
1466,28000,59.2341
1506,29000,55.1525
1544,30000,59.1079
1584,31000,58.3025
1622,32000,59.5842
1659,33000,62.0
1695,34000,61.95
1733,35000,59.1105
1772,36000,58.7872
1809,37000,60.827
1846,38000,55.5297
1885,39000,59.3128
1921,40000,59.4194
1956,41000,60.96
1996,42000,54.7575
2032,43000,60.8972
2067,44000,62.8971
2103,45000,61.3
2138,46000,61.9914
2177,47000,58.959
2214,48000,60.7595
2251,49000,59.8676
2289,50000,60.15
2327,51000,61.4395
2362,52000,62.26
2396,53000,63.8412
2432,54000,60.1111
2469,55000,63.5838
2507,56000,61.1553
2545,57000,58.9868
2582,58000,59.9
2614,59000,64.7094
2647,60000,60.0636
2682,61000,58.1514
2718,62000,53.9083
2753,63000,61.4029
2789,64000,54.7639
2826,65000,60.5865
2866,66000,59.07
2906,67000,58.6375
2942,68000,58.7
2979,69000,57.1054
3018,70000,58.8
3056,71000,60.3184
3094,72000,59.9
3133,73000,52.4667
3171,74000,59.7974
3210,75000,59.3256
3249,76000,59.9051
3289,77000,60.18
3330,78000,57.8976
3367,79000,58.5622
3405,80000,58.3737
3440,81000,61.8286
3478,82000,59.2684
3512,83000,62.4912
3548,84000,62.7556
3582,85000,66.0824
3617,86000,63.8457
3655,87000,57.9237
3692,88000,58.1919
3726,89000,56.8353
3762,90000,64.3583
3799,91000,60.9757
3835,92000,63.1306
3872,93000,61.8459
3908,94000,63.4528
3948,95000,59.025
3988,96000,61.0
4029,97000,59.8268
4066,98000,60.3757
4103,99000,61.1081
4140,100000,59.9108
4177,101000,59.2973
4212,102000,65.4314
4249,103000,64.8973
4288,104000,62.0436
4326,105000,62.4579
4363,106000,62.3162
4398,107000,60.2571
4436,108000,57.8921
