episode,timestep,reward
66,1000,-5.7667
138,2000,-4.5403
205,3000,-3.994
274,4000,-2.0957
336,5000,-0.0613
396,6000,3.0417
458,7000,4.2935
517,8000,5.261
579,9000,5.3758
638,10000,12.9949
700,11000,11.2016
763,12000,10.3984
822,13000,13.0814
878,14000,11.6929
935,15000,17.2316
992,16000,16.6561
1046,17000,20.8352
1100,18000,18.7444
1157,19000,17.4877
1215,20000,17.2466
1268,21000,21.4302
1324,22000,19.4696
1379,23000,23.1745
1433,24000,19.65
1486,25000,16.6491
1536,26000,23.584
1587,27000,21.6431
1637,28000,21.504
1690,29000,22.9811
1741,30000,24.3608
1791,31000,21.526
1843,32000,22.6865
1891,33000,24.3979
1937,34000,22.9239
1986,35000,25.5878
2034,36000,20.6333
2086,37000,21.8981
2136,38000,21.276
2187,39000,24.4157
2239,40000,18.3115
2289,41000,18.422
2337,42000,20.8271
2386,43000,18.649
2435,44000,22.3224
2488,45000,23.0472
2538,46000,20.02
2589,47000,19.9569
2640,48000,23.5588
2692,49000,22.8712
2741,50000,21.9306
2792,51000,25.551
2842,52000,23.422
2892,53000,26.01
2939,54000,25.2021
2989,55000,22.412
3038,56000,22.9612
3085,57000,22.4021
3134,58000,22.8265
